ID, TWEET, LABEL
48,"ربنا معاهم احسن من اي حد ربنا يتولاهم بي رحمتو  انقذوا اطفال السرطان",sympathy
49,":  الصرخي يحطم كهنوتيه السيستاني السيستاني لم يواجه السلطه الفاسده!!!",anger
50,": انتقاله عجيبه، عقيل الخزعلي من مذيع بقناه افاق التابعه للمالكي الي وزير داخليه وكاله (لاعجب، هذه دوله ملشيات)",anger
51,"1424   ي الله 💔 كان الله في عونهم .. والله صوره موجعه لابعد حد 😔😔😔",sympathy
52,"الماتش الجاي قدام السويد واحده من اللي بتنافس علي ذهبيه ف الاوليمبياد يعني علي المنتخب السلانكتيه 😂",surprise
53,"انا بقيت خايفه من ربنا لدرجه ان خايفه اصلي    بعد مكنت بفكر صحابي بالصلاه وربنا بقيت انا اللي بخاف منه وببعد .",fear
54,"جاريدو مش مدرب ده بتاع بطيخ فضحتنا ليه تشمت فينا الزملكاويه اللي هما اصلا متعودين ع الخساره ليـــــــه كــــــــدا يااخي .. دي عمرها ماحصلت",anger
55,"ماشاء الله المحمدي كورته نظيفه.. والله زي شيفو متوازن دفاع وهجوم شئ يبرد القلب",joy
56,"بس برده اللهم وفق باقي اولادنا في الايام اللي جايه في الاوليمبياد وارزقهم الذهب لا الفضه ولا البرونز",none
57,"ايه ده ازاي ده! رهيب..",surprise
58,"باي موراي ابن الجزمه ده ياخد ذهبيه السنه دي وذهبيه الاوليمبياد اللي فاتت 😏",none
59,"وزاره التجاره تدعو الشركات المتاثره بارتفاع البنزين لتقديم ادلتها مشدده علي ضروره تطبيق القانون علي المخالفين الذين يرفعون الاسعاربشكل مصطنع",none
60,": انتُ حاجه .. لو تجينيَ بس مره ؟ اكتفيُ في جيّتك عن كل حاجه",love
61,"اجمل ماقيل بالحب ابحر في حب الصحابه للنبي ﷺ واقطف من بستانهم حتي تكتفي واشرب من نهرهم حتي ترتوي فهناك الخالي من الشوائب.",love
62,"اتاخرت قوي ياصلاح الاوليمبياد الجايه قربت تخلص ياخساااااره ياصلاح ياخساره😞",sadness
63,"ثــانـــــي ميـــداليـــــه مصــــــريـــــــه ( محمد ايهاب) برونزيه رفع اثقال  مصر في الاوليمبياد  ريو دي جانيرو 2016",none
64,"يا اول .... حب 💙",love
65,"ما اجمل ان تتنازل عن كل ممتعات الحياه ...... و تجلس ساكتا  وحيدا متاملا منظر السماء في هدوء تام   يوميات جيمي",joy
66,": اللهّم خفف عن جدتي كُل ذره وجع ترهقها وانزل عليها لِتُزيل بها تعبك يا رب العالمين، اللهم اشفها وخفف عنها مراره الا…",sympathy
67,"الوليه المذيعه خايفه تتكلم و خايفه من راي الجمهور حد يروحها يا جماعه",fear
68,"الجيش واللجان الشعبيه في جيزان يسطرون الملاحم كان الله في عونهم دعوات الشعب اليمني وكل مستضعفي العالم تناصركم يا خير رجال الارض واصدقها،،",sympathy
69,"لا بس واضح ان الحكومه مرعوبه من 11 11 تعويم جنيه و رفع الدعم عن المحروقات في يوم واحد .. دي زي اللي بتقول...",fear
70,"مشكله اغلب الشعب خايف اذا فضح الفساد راح يجي حرب ودمار وسرقه فهو مضطر يطبل للفساد والسرقه انطق بالحق ستبقي بالقبر وحيد  زياده رواتب القطريين",fear
71,"بتضحك وعينيها كلها دمووووع نعم يا ساده انا اعشق شيرين يحيي  ShereenYehia   مكملين مع شيرين  StaracArabia",joy
72,": عشقي لك لا ينتهي 😍",love
73,"ده احنا مبنلمسش الكوره !!!",surprise
74,"النرويج تهدي  فنلندا جبلًا في عيد استقلالها     اسال اكثر",joy
75,"البورتريكيه مونيكا بويغ تصنع التاريخ بتتويجها بالذهبيه الاولي لبلدها في الاوليمبياد علي حساب انجليك كيربر 6 1 و 6 4 .  براء",none
76,"MOSAAD  مرعب ابن متناكه😭😭😭",fear
77,"نيجيريا جالده الجزائر !!!",surprise
78,"20 سنه ويكسب بطل العالم 5 مرات و الاوليمبياد مرتين يا جماعه والله مبروك لتونس الف مره  TUN",joy
79,"يامال فرقا العين ميداليه وحده للعرب في الاوليمبياد لا والي جايبها واحد مجنس  Rio2016",none
80,"معنديش اي ابن وسخه يخليني افرح او افرح حد ولو بايسط طريقه.",anger
81,"ربنا يستر انا خايفه من المدبحه دي بجد وزاره الصحه مش هتقدر تقاوم كتير خصوصا ان مبقاش في منطق للمقاومه كده",fear
82,"بابا فرحان ان الزمالك كسبان وانا مش عارفه افرح علشان هو فرحان ولا ازعل علشان الزمالك كسبان وحاسه بالي هو عقوق الوالدين ده، هيجيلي انفصام ????????",surprise
83,"يا جماعه كله يروح عالانستجرام يالا :D انشرو حساب شيرين يحيي ♥  ShereenYehia  مكملين مع شيرين",joy
84,"الاهلي ?",surprise
85,"جوايا خوف من كلمه الظروف تبقي طريقي ..",fear
86,"اللهم اغفر لاغلي من غابوا عن الدنيا و ارحمهم و احشرهم في زمره المتحابين فيك و اجعل ملتقاني بهم في الفردوس الاعلي يا رب.  حوتان التميمي",sympathy
87,"طب نتغير ازاي بس....؟؟؟؟💕💕",surprise
88,"كوسوفو تحصد اول ميداليه ذهبيه لها في التاريخ في اول مشاركه ليها في الاوليمبياد عن طريق مايليندا اللي جابت ذهبيه 56 كجم جودو",none
89,"عندنا 12 ملعب من الل بتقوله دا .. وعندنا بلاييستيشن ودي مفاجاه الاوليمبياد عندنا وبس",surprise
90,"انا مبسوط فشخ للبنتين و الله بتجربتهم في الاوليمبياد و بتشجيع الجمهور ليهم هناك",joy
91,": لا تستطيع ان تستقيم بحياه مريحه نفسياً وانت تشاهد تلك المصائب التي يعيشها اهل ، حسبنا الله ونعم الوكيل، اللهم ارفع عنهم…",sympathy
92,"ايه الفكره اننا كبعثه جمهوريه مصر العربيه وهي داخله في افتتاحيه الاوليمبياد نكون رافعين علم السعوديه !!",surprise
93,"بقول لابويا عايز عربيه ب2 مليون جنيه .. قال كلمه غريبه اوي",surprise
94,":  اهالي الرويس يناشدون الملك في وقف ازاله الحي بدعوي ان الحي عشوائي . جميع الاراضي في حي الرويس عليها صكوك من وزاره الع…",anger
95,"لا حول ولا قوه الا بالله ربنا يصبرهم 😢😢",sympathy
96,"ليش طلع خيمس رودريغز!!! يعني لا بالرسميات نشوفه ولا بالوديات !!!  اكثر لاعب مظلوم شفته في ريال مدريد !!!",anger
97,"للحنين بوصله لا تشير الا اليك !!  بوصله  انا  انت",love
98,"عاوزين تنميه بشريه بجد مش هزار و بوزيتيف اينيرجي مدهشه و مش fake .. اتفرجوا ع الاوليمبياد...",joy
99,"انا طول عمري بحب الرياضه عامه اي لعبه و اي حاجه و بحب اتابع الاوليمبياد و طول عمري مش فارق معايا مين يكسب و مش فارق معايا الدول اصلا",none
100,"والقلبُ متلهّفٌ؛ لنعيمٍ سرمدي❤️",love
101,"حلمك ياعمر يالطفي حقيقه ... واسم الاهلي مالي الكون ... حلمك بيكبر كل دقيقه .شوف بقينا كام مليون",sympathy
102,": الله هو الذي يمنح لنا احبائنا. لا يمكن ان يوجد من خلال نسيان الله. اولئك الذين فقدوا حبهم لِـ الله ليس لهم معني في…",love
103,"سلامه قلبك",joy
104,"الخبر بيقول ان فيه بنت برازيليه بتعلب غطس طردوها من الاوليمبياد عشان نامت مع لاعب تجديف برازيلي ف اوضته ف القريه الاوليمبيه",none
105,"والولاء لك سيدي السلطان قابوس حفظه الله ومتعه بموفور من الصحه والعافيه والعمر المديد.🌹",love
106,"kuw      مشكور وضاح عالموقع المؤثر ...الله يكثر من امثالك????????????????",love
107,"اني اُحبكِ عندما تبكينَ واحبُّ وجهكِ غائماً وحزينا   بعض النساء وجوههن جميلهٌ وتصيرُ اجملَ عندما يبكين",sadness
108,": خايف مع الايام تنسي اللي بينا قوام :)!",fear
109,"الكهرباء تستمر في معاقبه المواطنين في صيف الرياض...",anger
110,"رب كن لاخواننا في وزدهم صبراً وثباتاً وعليك باعداء الدين اجمعين . اللهم قد طال ليل الظالمين فارنا فيهم عجائب قدرتك .",sympathy
111,"558: اخترتك حباً لقلبي فلا تكن بغيابك له وجعاً كنت ومازلت لقلبي عشقاً فرفقاً بقلبٍ عشقك ..",love
112,"اسعدني حظي بسماع معلق النيل للرياضه لرفع الاثقال في الاوليمبياد..احا",none
113,"خالتها صاحبتي 😓 ربنا يصبرهم ويربط علي قلوبهم وينتقم من الفجره دول",sympathy
114,"السوريين الله يرحمهم برحمته  تراجف ايديني من البرد وقول",sympathy
115,"خايف يطول البعد ، وتسج مني وياخذ مكانك شخص مهوب يسّواك .",fear
116,"دا النهارده يوم مصر والعرب ف الاوليمبياد بقي يارب دايما فرحانين 👏👏👏",joy
117,"هنا شخص خايف يفتح الموقع ويشوف غياباته 💔.",fear
118,"alnssr  قائد محنك ذو خلق عالي محبوب. من ال الجميع ويستاهل سعاده اللواء جمال الخشرمي كل حب وتقدير واحترام",love
119,"وُ انْ رايتُك للمرهّ الالفُ لنّ تتغير تِلك النبضهَ التيْ اشعُر بهُا حينْ ارَاك❤️  الاول",love
120,"ليس هناك رجل يستحق ان تبكي من اجله ،ولا تصدقي انه حزين لفراقك، ف دائما عند كل شرقي بديل ! نزار قباني",sadness
121,"KIDS: يعجز اللسان عن وصف حال  اطفال سوريا اللهم انهم مغلوبون فانصرهم 💔  اطفال سوريه  سوريه  يارب  صوره  مؤلمه  حمص  الثوره …",sympathy
122,"فظ محمد اظهارخان:03452498306 03002070292",anger
123,"😂😂😂 انا خايفه ادخل تويتر مو بس حسابك",fear
124,": الست بتقول للقاضي اشوفه يا بيه 3 ثواني ابني معملش حاجه . خدوا عليا اقرار  زل",sadness
125,"القسوه لاتكون دائماً عنوان للقلوب الميته فَ بعض القلوب تنبض بالجمال والحب لكنها تقسو لانها خائفه من اعاده تجربه مؤلمه",fear
126,"شخص اناني ولا يمت بعراقه اغلب اجيال ارسنال ، هنري يهين ارسنال بـ كلامه ، وفينجر يهين ارسنال بـ افعاله مؤخراً ..",anger
127,"امُي قدام حسّن غمازاتها انا مغلوب امري.",love
128,"حجازي طويل اوي ايههه داااا",surprise
129,"غير مستغرب من طيران الامارات ، ذوق وخدمه ممتازه وتعويض المتضرر وسرعه الخدمه ....الي الامام",joy
130,"لو تسال عيوني حدود التمني .. قالت لقي وجهك وجلسه قبالك💜  احبك",love
131,"1988massacre نظام ايران استبدادي درجه اولي لابد ان يواجه بقوه وغضب",anger
132,"هي  العلوقيه  دخلت الاوليمبياد ولا لسه .. ما نبدا احنا ونعمل اتحاد للعبه!  دهب  دهب  دهب",none
133,"معلومتين علي الماشي: مروان رجب غالبا مش مكمل بعد الاوليمبياد (اتحاد اليد هايتغير في اكتوبر) تعليق الامل علي التاهل للدور الثاني سذاجه",none
134,"تقول  فتاه توفيت امي اثناء ولادتي فاخذت اخر  نفس من انفاسها تاملوه جيدا  مؤلمه  لحد",sadness
135,"اني عرفتُ من النساءِ قبائلاً لكنْ كرسمكِ لم تجد الواني <3 ~",love
136,"الارجنتين خرجت من منافسات كره القدم في الاوليمبياد بعد ما اتعادلت مع الهندوراس.. الهندوراس اتاهلت بفرق الاهداف  Football",none
137,"كسم ريال مدريد ياعم :D",anger
138,"اذا قلت  احبك  فاحترم هذا الميثاق، واحمل هذه الامانه، واصدق في هذه التبعه، واوف بهذا العقد.",love
139,"انتوا ابتديتوا تزايدوا علي احمد زويل !!! انتو ايه !! صراصير ؟ مفيش احساس",anger
140,"الناس اللي ضغطهم عالي دول ربنا يتولاهم وخصوصا اللي يبضايقوا من اقل حاجه",sympathy
141,":  منَ تعلم الاكتفاء بَ شخْص واحد ،عرف معّني  الحٌب .",love
142,"10 واعلموا يا احرار  القطيف باننا معكم قلبا وقالبا  قلوبنا معكم وسيوفنا مسلوله معكم   عهداً لن تكونوا في المواجهه و…",sympathy
143,"Copied  عامل نفسه من     بنها    .. اشمعني     بنها    ؟  عمرك فكرت ايه هو السر ورا جمله     عامل نفسك من بنها     ؟!! السبب هو...",surprise
144,": زي انهارده من 15 سنه الاهلي فشخ ريال مدريد في ستاد القاهره.",joy
145,"هتفشل الاوليمبياد دي واضحه يعني",none
146,"الله يسلمك انا مره خايفه ومو عارفه كيف ابدا....ارجوك كوني معاي",fear
147,"l banna:   هو برضو ! برضو ! .... انتي كمان بيحصل معاكي الحاجات دي ...!! ياسبحان الله😁",surprise
148,"لا مش معقوووول ههههههههههه!!! واو. طب مين هيدفع لبعض الناس و هو فالسجن؟",surprise
149,"ماتش للتاااااااااااااااريخ ، الباشمهندس ديلبوترو يفوز بمجموعتين لواحد في واحده من افضل مباريات التنس في الاوليمبياد  Rio2016  tennis",none
150,"maher  انا بمتحن ✋",fear
151,": رفيق السوء مثل البعوض لا تحسّ به الا بعد اللّسع.  .  مصطفي المنفلوطي",sadness
152,"انا مرعوبه من الليڤل اللي الناس وصلتله والله",fear
153,"هو مين ابن الوسخه اللي رفع علم السعوديه من بعثه مصر في الاوليمبياد ؟؟ حد عنده معلومات عن المعتوه ده ؟",anger
154,"ابقي اعرف  قيمتك عندهم الاول ، قبل ما تقولهم عشان  خاطري",sadness
155,"صار ليل و قامت العالم تروح خايفه انك مثل هالعالم تروح !",fear
156,"تركي العواد يسيء للسعوديات ياخي انا مستغرب الدرباويه وينهم عنه ي  الدرباويه???? هذا قعد يغلط علي امهاتكم ????????????",anger
157,"جمال الغندور : هدفي مباره  الزمالك في ماتش انبي صحيحه .. و ضربه جزاء الزمالك غير صحيحه . و ضربه جزاء انبي صحيحه . و كان يجب طرد احمد علي",joy
158,": صور المذبحه الي تعرض لها المرتزقه وجنود وضباط  السعوديه يوم امس في زحفهم الفاشل علي  الطوال و  حرض  تسلم الايادي",anger
159,"وبغض النظر عن كل شيء يبقي المصرين الوحيدين اللي شتمو وسخرو وشغالين تريقه علي لاعبيهم المصرين في الاوليمبياد حتي اصابهم الاحباط ومفيش دعم لهم",sadness
160,"مذبحه رابعه  رابعه  رابعه قصه وطن  لن تكرم امه يهان نساؤها",sadness
161,"نجي لرد الجميل للكويت عندما احتل صدام الكويت في عهد الملك فهد  تعرفون القصه كلها حقت الغزو  هنا السعوديه ردت الجميل للكويت",anger
162,"انا خدت الحاجات دي امتي   هنجح ازاي     انا عايش ليه * واحد قاعد ف امتحان الميدتيرم *",surprise
163,"شيرين صوتها نفس اصواتنا طبيعي .. 😴",surprise
164,"khafajia: ❈↝❤ ﴿  سـلاماً علـي مـن راي في الحب عينـيّ وعيني گادت تجن فيه` 👀🙈🙊",love
165,"شوفي عاوزانا نعمل ايه واحنا نتفق كلنا ونعمل شيرين يحيي  مكملين مع شيرين   ShereenYehia",joy
166,"الاوليمبياد والرياضه عمومن بالنسبالنا كعرب علمتني ان اللاعب اللي هنركز معاه كلنا مش هيعمل حاجه سيبوا الناس في حالها وخلونا نتفاجئ  Rio2016",none
167,"اسهر علي طاريك لمطلع الشمس وكل ما جيت بنام اشتاق لك اكثر ❤️  كلام",love
168,"يبقي الكِتمان ارّقي انواع الوجَع.",sadness
169,"طلعت اعرف امتنان من اكثر من سنه",joy
170,"فيه كام حبايه كده في الاوليمبياد لازم نعرف عناوينهم عشان نجيب لفه من خالد و ننول الرضا 😂",none
171,"يارب تسهلي اختباراتي 😭حتي نوم ما اقدر انام خايفه 😞انا الانسانه الوحيده اللي شايله هم كل شي 😂ياربي ماهاذا",fear
172,"احرزت  البحرينيه   روت جيبيت  اول ميداليه ذهبيه  للعرب  في الاوليمبياد ... واقع مبهر 😂😂",none
173,"qqq والله خايفه من تاسونامي",fear
174,"اللهم كن لاخواننا المسلمين المستضعفين في كل مكان وانصرهم علي عدوك وعدوهم، يارب اجعل للمسلمين فرجاً عاجلا  امين  يارب",sympathy
175,"الاهتمام و التقدير مفتاح اي حد",joy
176,"مش  مصدقه حاجه كان كل دا كابوس ، اكيد العيب فيا.",sadness
177,"انا طلعت عامله فولو لناس بضان كدا",surprise
178,"م انت حسيت بدفا غريب اول م دخلت",surprise
179,"كل الايام تبقي خرا كده !!!",surprise
180,"كلمينا عن تجربتك في الاوليمبياد 😂😂🎤🎤",none
181,"كل اللي يخصني في الاوليمبياد دي الباليه المائي لما تيجي فقره الباليه المائي حد يقولي",none
182,"اللهم كما نصرت موسي علي فرعون فانصر عبادك المظلومين المستضعفين علي طواغيت الارض يا قوي يا عزيز يا حكيم  ليبيا  اليمن  مصر  القدس",sympathy
183,"دلمها هاد الاوليمبياد جات فشهر 8 ههههه",none
184,"مبتفرجش علي الاوليمبياد والكوره مبفهمهاش ومش معايا فلوس ادخل الافلام الجديده ومش عارفه اواكب العصر خالص",sadness
185,"هو افتتاح الاوليمبياد امتي؟",none
186,"الحب مش امنيه .. الامنيه ان الحب يدوووم ❤️",love
187,"✱ ㅤㅤ ㅤㅤ من كثر ما صوتي من الفرقي ، احس بـ ان الدمع من  صوتي نزل !",sadness
188,"قطر داخله الاوليمبياد بــ 25 لاعب . اللي عايز يسرق قطر يستغل الفرصه دي البلد كلها في البرازيل 😂  البرازيل",none
189,"07    تحرض مين والناس دايخين ههههههههههههه لو بتحرض كان حرضوا ايام ثوره حُنين ، لكن الشعب يبي ال سعود بس كثيييير اشياء تغبن ????",love
190,"اولئك الذين يملكون قلوبًا مليئه بالمحبه، تكون اياديهم دائمه ممدوده*  زياره الاربعين  الاربعين  يا حسين 💚🙏🏼",love
191,"و اغاني تانيه بس مش فاكره حاجه غير دلوقتي :D",joy
192,"k0: كل التوفيق لسلطان العنزي موفق يارب ????????????",love
193,"هي الشبكه كانت واقعه ليه !!!؟",surprise
194,"دجوكوفيتش بره الاوليمبياد ، يروح يشوفله كلبه بقي",anger
195,"انا طول الاوليمبياد مقضياها  امتي هنفرح بقي  بصوت",none
196,"هو من امتي اللي عمرهم ما فهموا او تابعوا رياضه بيتابعوا الاوليمبياد؟",none
197,"تحيه مسائيه معطر بعطر الورد تحيه طيبه يا ابطال العراق كلنا معكم يا ابطال ندعوا لكم بنصبر والثبات لتحرير ارض الوطن",sympathy
198,"مفوزين كوبل الحموضه !!!!!!!",surprise
199,"بتخلص الباقه بسرعه و كده؟ انا خايفه اغير الشريحه 🙄",fear
200,"Rio2016 المصريون في  الاوليمبياد وثقافه الاستسلام للفشل :(",sadness
201,"سبحان الله بيجو ف الايام اللي مدايقه فيها جدا و ع اخري و يبوظ و يرخمو اكتر !!!!",surprise
202,"رايك ف الشبكه الفضه جميله جدا وتحسسك ان العروسه واخده مركز تاني في الاوليمبياد 😂😂 ماتنفعش طبعا انت ممكن تقلل الدهب احسن واشيك :)",none
203,"انا لو مكان اي لاعب من اللي في الاوليمبياد دول وجاتلي فرصه اني اتجنس بجنسيه اي بلد مش هفكر لحظه في اني ارفض",none
204,"تفتكروا لو احمد موسي دخل الاوليمبياد هياخد ميداليه ذهبيه في ايه؟",none
205,"اذا احببت شخصاً .. خذه معك في دعائك دون علمه .. فهكذا يكون اجمل .. واقرب الي  الله ..🌹",love
206,"و الحنين اللي يغنيه  السهر ، يعتريه احساس  متبلدّ و خوف صدّتك اجحاف و غيابك ، ماتحس و لا  تحن و لا تروف .",sadness
207,"روح يا عبدالسلام وراها اشمعنا دي يعني  هو الكنترول ده مستكتر علينا ننام يوم مبسوطين  DoaaElSebaii  StaracArabia",sadness
208,"ربي ان لي رفيق احب قربه ولقاءه فلا تحرمني من وجوده بحياتي. وحدك اعلم بما له بالقلب  سكع  نمير البيان  نبض مغرد",love
209,"خايفه وبقوه كمان بس السبب مجهول .",fear
210,"قطر داخله الاوليمبياد ب 25 رياضي يعني فرصه اللي عاوز يسرق قطر البلد كلها في البرازيل 󾌸",none
211,"هو في سؤال عندي من زمان ، هو اللجنه الاوليمبيه بتجيب فلوس ازاي؟ يعني مفيش حقوق بث بتتباع بارقام كبيره ولا اعلانات في الاوليمبياد",surprise
212,"تنام عيناي .. ولا ينام قلبي ! يالبعثرات قلبي .. الا تهدا !!  مشتاق",sadness
213,"DoaaElSebaii يا حياااااااتي يا دعاااااء انا بحببببببببببببك اوووووي يا حبيبتي مستنياكي ع نااااار",joy
214,"تحيه صمود لكل واحد عايش في مصر لحد دلوقتي ومشربش سجاير ولا شيشه ، ولا بيحشش ولا جرب اي نوع من المخدرات علشان يواجه هذا الواقع البائس ????",sadness
215,"خصوصا انك من مكه راح تنتهي منها وانتي مرعوبه",fear
216,": في اتلانتا 1996 اعظم من نال شرف اشعالها الاسطوره الراحله محمد علي كلاي  ، مشهد الشعله وهي ترتجف في يديه لن تمحي من ذاكره اي ع…",sympathy
217,"احنا معندناش ادني اهتمام باللاعيبه او تدريب..واكيد شغتي ايهاب اللي خد ميداليه ده بيتدرب فين..وصولهم الاوليمبياد انجاز وحده",anger
218,"8888: اللهم ارزقه لذه النظر الي وجهك والشوق الي لقاءك اللهم ارجع نفسه اليك راضيه مرضيه  محمد الوهيب",sympathy
219,"فيه واخد في الاوليمبياد في المصارعه ايراني اسمه سعيد مراد يا مطوبس :D",none
220,"گلنا دشتي گلمه حق امام سلطان جائر",sadness
221,"ملحمه حلب الكبري  بالامس تبجح الروس  عن ممرات امنه للعبور  واليوم يبحث كلاب النظام وايران عن ممرات امنه للهروب....",anger
222,"دخله الاوليمبياد دي بتفكرني بالاسبوع الثقافي اللي كان عندنا 😍",none
223,"فيليبس لوحده 22 ذهبيه في الاوليمبياد وممكن يزيدوا و الدول العربيه كلها علي مدار تاريخ الالعاب الاوليمبيه 24 ذهبيه علي الدنيا السلانكاتيه",none
224,": بنت مصر شرفت مصر ✌  ساره سمير  جبهه شعب مصر",joy
225,": تمت محاكمه من تحدث عن الفساد  متي نحاكم الفاسدين ومتي نتخذ خطوات ايجابيه للقضاء علي الفساد الذي استشري في مؤسسات... ht…",anger
226,"الاوليمبياد دي برضه من الحاجات اللي واحد لازم يتفرج عليها",none
227,"مسائك اجمل",joy
228,"*الله اكبر الله اكبر لا اله الا الله* *الله اكبر الله اكبر ولله الحمد*  مبروك فك حصار حلب",joy
229,"مش نا لي درتها ظلمتني محمد خويا☜♨",joy
230,"يعني لاعب مصري يرفع العلم السعودي ليه هو انت مولود هناك ولا اصلا ايه فضل السعوديه عليك عشان ترفع علمها في الاوليمبياد اللاعب دا لازم يرجع",surprise
231,"لا تُـعطي قلبك لمن لا قلبَ له لانهُ حتماً سَـيَخذِلُك  ولا تُعطي حروفكَ لمن لا يقرا. لانهُ بلا شكّْ سَيُسيءُ فَهمكْ .",sadness
